,지역,구,제목,사업체명,교육업체,사업유형,계획인원,참여인원,기간,접수여부
728,대전광역시,대덕구,"- 제조업 - 펌프, 주변장치개발 제조 등 시니어인턴십 3개월 운영 후 신규고용", 주식회사 펌프케어,시니어잡네트워크센터(민간),현장실습훈련 지원,2,0,2025-01-13 ~ 2025-06-30,접수중
729,대전광역시,동구,- 보건업 - 장기요양시설 - 시니어인턴십 3개월 운영 후 신규고용, 주식회사 밝은노인요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,2,0,2025-02-12 ~ 2025-08-29,접수중
730,대전광역시,유성구,주유소 현장실습 훈련 실시 후 계속고용, 주식회사 상익유성주유소,도시문화네트워크,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-31,접수중
731,대전광역시,유성구,주유소 현장실습 훈련 실시 후 계속고용, 주식회사 선일장대주유소,도시문화네트워크,현장실습훈련 지원,1,0,2025-01-01 ~ 2025-12-31,접수중
732,대전광역시,중구,- 서비스업 - 주야간보호 - 시니어인턴십 3개월 운영 후 신규고용, 행복한주야간보호센터,시니어잡네트워크센터(민간),현장실습훈련 지원,1,0,2025-03-06 ~ 2025-04-30,접수중
733,대전광역시,중구,- 노인요양시설 - 요양원 - 시니어인턴십 3개월 운영 후 신규고용, 세일요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,1,0,2025-02-27 ~ 2025-04-30,접수중
734,부산광역시,금정구,"- 건설업 (토목엔지니어링 외 ) - 시니어인턴십 3개월 운영 후 신규고용 - 오리엔테이션교육, 시니어인턴십 안내 등 자체 교육 실시", 주식회사 동방이엔지,시니어잡네트워크센터(민간),현장실습훈련 지원,5,0,2025-01-08 ~ 2025-10-31,접수중
735,부산광역시,부산진구,"- 서비스업 - 건축사, 건설엔지니어링 업 등 - : 시니어인턴십 3개월 운영 후 신규고용", 주식회사 인우건축사사무소,시니어잡네트워크센터(민간),현장실습훈련 지원,5,0,2025-01-21 ~ 2025-09-30,접수중
736,서울특별시,강북구,- 노인요양공동생활시설 - 요양원 - 시니어인턴십 3개월 운영 후 신규고용, 거목요양홈,시니어잡네트워크센터(민간),현장실습훈련 지원,2,0,2025-02-04 ~ 2025-04-30,접수중
737,서울특별시,송파구,- 재가노인복지시설 - 시니어인턴십 3개월 운영 후 신규고용, 에이플러스 은빛복지센터,시니어잡네트워크센터(민간),현장실습훈련 지원,2,0,2025-01-21 ~ 2025-06-30,접수중
