기관명,특별시도,주소,위도,경도,지역
인지어스(유) 서산지사,충청남도,충청남도 서산시 호수공원5로 31(예천동) 5층,36.774241350000,126.449693800000,충청남도 서산시
태안고용센터,충청남도,충청남도 태안군 태안읍 동백로 336 태광빌딩 2층,36.746667407264,126.306525468742,충청남도 태안군
서산상공회의소,충청남도,충청남도 서산시 읍내3로 28(읍내동) 4층,36.778580200000,126.448810300000,충청남도 서산시
제주특별자치도고용센터,제주특별자치도,제주특별자치도 제주시 중앙로165 (이도일동),33.504381216612,126.527071196480,제주특별자치도 제주시
주식회사 씨패스,제주특별자치도,제주특별자치도 제주시 중앙로 270-5(이도이동) 202호,33.495617748842,126.531989155004,제주특별자치도 제주시
제주여성인력개발센터,제주특별자치도,제주특별자치도 제주시 중앙로 165(이도일동) 4층,33.504225000000,126.526689000000,제주특별자치도 제주시
서귀포YWCA,제주특별자치도,제주특별자치도 서귀포시 부두로 3(서귀동),33.240473240000,126.564392400000,제주특별자치도 서귀포시
사회적협동조합 제주내일,제주특별자치도,제주특별자치도 제주시 서광로 157(용담일동) 4층,33.500211410000,126.508856300000,제주특별자치도 제주시
제주특별자치도고용센터 서귀포지소,제주특별자치도,"제주특별자치도 서귀포시 동홍로186 4층, 제주고용복지센터 서귀포지소 (동홍동)",33.264912378662,126.568171099185,제주특별자치도 서귀포시
제주여성인력개발센터,제주특별자치도,제주특별자치도 제주시 중앙로 165(이도일동) 4층,33.504225000000,126.526689000000,제주특별자치도 제주시
정읍고용센터,전라북도,전라북도 정읍시 수성택지3길 28(수성동),35.578290170000,126.856708500000,전라북도 정읍시
인지어스(유) 정읍지사,전라북도,전라북도 정읍시 남북로 56(수성동) 202호,35.568242380000,126.850546400000,전라북도 정읍시
전주고용센터,전라북도,전라북도 전주시 덕진구 태진로 114(진북동),35.833275350000,127.133874600000,전라북도 전주시
(사)이엘티에스연구원전주지사,전라북도,전라북도 전주시 덕진구 송천동2가 세병남로 35(송천동2가) 601호,35.870004740000,127.127565800000,전라북도 전주시
(사)한국커리어,전라북도,전라북도 전주시 덕진구 기린대로 380(금암동) 4층,35.873466370000,127.062982700000,전라북도 전주시
(주)맥시머스_전주지점,전라북도,전라북도 전주시 완산구 효자동2가 우전로 202(효자동2가) 3층,35.812426600000,127.102087700000,전라북도 전주시
(주)베스트인,전라북도,전라북도 전주시 완산구 효자동2가 홍산북로 29-5(효자동2가) 3층,35.817894974821,127.104948252019,전라북도 전주시
(주)베스트인전북지사,전라북도,전라북도 전주시 덕진구 백제대로 563-3(금암동) 2동 1층 101호,35.835534070000,127.123888900000,전라북도 전주시
(주)제이비커리어,전라북도,전라북도 전주시 완산구 효자동1가 용머리로 146(효자동1가) 3층,35.807680020000,127.132316800000,전라북도 전주시
(주)지에스씨넷전주지점,전라북도,전라북도 전주시 완산구 효자동1가 용머리로 80(효자동1가) 201호,35.806664780000,127.116695800000,전라북도 전주시
전주여성인력개발센터,전라북도,전라북도 전주시 완산구 평화동1가 장승배기로 213(평화동1가) BYC건물 3층,35.797003295351,127.135636660466,전라북도 전주시
스탭스(주)전주센터,전라북도,전라북도 전주시 덕진구 기린대로 409(금암동) 9층,35.873466370000,127.062982700000,전라북도 전주시
국제커리어센터전주지점,전라북도,전라북도 전주시 덕진구 덕진동1가 기린대로 499(덕진동1가) 1동 403호,35.840555850000,127.128113500000,전라북도 전주시
(주)휴먼제이앤씨,전라북도,전라북도 전주시 덕진구 팔달로 354(진북동),35.832847600000,127.136414700000,전라북도 전주시
남원고용센터,전라북도,전라북도 남원시 향단로 39(하정동) 1층,35.407974510000,127.382594800000,전라북도 남원시
김제고용센터,전라북도,전라북도 김제시 화동길 105(요촌동) 2층 김제고용복지+센터,35.799342770000,126.888977700000,전라북도 김제시
익산고용센터,전라북도,전라북도 익산시 익산대로52길 11(남중동),35.952100500000,126.953572400000,전라북도 익산시
(주)베스트인익산지사,전라북도,전라북도 익산시 모현동2가 배산로 193-24(모현동2가) 2층,35.955541140000,126.943409200000,전라북도 익산시
(주)제이비커리어원광보건대학교센터,전라북도,전라북도 익산시 익산대로 514(신용동) 원광보건대학교 학생성공관 1층,36.044148410000,126.958759800000,전라북도 익산시
(주)제이비커리어익산센터,전라북도,전라북도 익산시 고봉로32길 22(영등동) 4층,35.959704640000,126.973975400000,전라북도 익산시
인지어스(유)익산지사,전라북도,전라북도 익산시 무왕로 1089(영등동) 5층,35.970986750000,127.028380000000,전라북도 익산시
군산고용센터,전라북도,전라북도 군산시 조촌로 62(조촌동),35.972895190000,126.737645300000,전라북도 군산시
(주)제이비커리어군산센터,전라북도,전라북도 군산시 조촌로 38(조촌동) 2층,35.972895190000,126.737645300000,전라북도 군산시
(주)제이비커리어나운사무소,전라북도,전라북도 군산시 하나운로 76(나운동) 3층,35.963790170000,126.701230100000,전라북도 군산시
군산여성인력개발센터,전라북도,전라북도 군산시 백토로 119(나운동) 2층,35.943040110000,126.705375700000,전라북도 군산시
군산국제커리어센터,전라북도,전라북도 군산시 월명로 270(수송동) 4층,35.987380240000,126.698351300000,전라북도 군산시
(주)휴먼제이앤씨군산대사무소,전라북도,전라북도 군산시 대학로 558(미룡동) 2학생회관 4층,35.945601100000,126.680236500000,전라북도 군산시
(주)휴먼제이앤씨 군산지사,전라북도,전라북도 군산시 하나운로 27(나운동),35.963790170000,126.701230100000,전라북도 군산시
부안고용센터,전라북도,전라북도 부안군 부안읍 번영로 145 2층,35.726341512227,126.736426927205,전라북도 부안군
고창고용센터,전라북도,전라북도 고창군 고창읍 중앙로 330,35.435172840000,126.698777800000,전라북도 고창군
나주고용센터,전라남도,전라남도 나주시 이창1길 39 나주시 일자리종합지원센터 1층,34.996396129945,126.709825931954,전라남도 나주시
영광고용센터,전라남도,전라남도 영광군 영광읍 물무로2길 61,35.277973762075,126.511840376809,전라남도 영광군
화순고용센터,전라남도,전라남도 화순군 화순읍 충의로 100,35.055350390000,126.992783200000,전라남도 화순군
목포고용센터,전라남도,전라남도 목포시 평화로 5(상동),34.796486360000,126.432839700000,전라남도 목포시
(유)중앙잡커리어,전라남도,전라남도 목포시 백년대로 285(상동) 세한대학교교육원 501호,34.803591323155,126.418907210981,전라남도 목포시
(주)서남취업센터,전라남도,전라남도 목포시 비파로 21(상동) -,34.804178530000,126.426005900000,전라남도 목포시
(사)전남고용노동연구원,전라남도,전라남도 목포시 영산로 118(호남동) 2층,34.792857650000,126.386794800000,전라남도 목포시
케이잡스목포지사,전라남도,전라남도 목포시 평화로 3(상동) 2층,34.796486360000,126.432839700000,전라남도 목포시
목포국제커리어센터,전라남도,전라남도 목포시 백년대로375번길 1(옥암동) 4층,34.807413475160,126.427226870788,전라남도 목포시
내일엔목포대,전라남도,전라남도 무안군 청계면 도림길 74 208호,34.909490534968,126.430720724713,전라남도 무안군
내일엔목포,전라남도,전라남도 목포시 백년대로 383(옥암동) 3층,34.798720650000,126.390937900000,전라남도 목포시
해남고용센터,전라남도,전라남도 해남군 해남읍 중앙1로 61,34.574476250000,126.591272200000,전라남도 해남군
무안고용센터,전라남도,전라남도 무안군 무안읍 성안길 26 1층,34.989844593385,126.476786417110,전라남도 무안군
영암고용센터,전라남도,전라남도 영암군 영암읍 농암로 36 1층,34.796528735032,126.698063407031,전라남도 영암군
순천고용센터,전라남도,전라남도 순천시 충효로 147(조례동),34.946540040000,127.514489700000,전라남도 순천시
(사)일미래 전남지사,전라남도,전라남도 순천시 장명로 33(장천동) 3층,34.950991420000,127.488247600000,전라남도 순천시
케이잡스 순천지사,전라남도,전라남도 순천시 이수로 276(조례동) 가동 2층 2호,34.949259890000,127.505248000000,전라남도 순천시
순천국제커리어센터,전라남도,전라남도 순천시 중앙로 278(석현동) 4층,34.954979840000,127.484020800000,전라남도 순천시
